siniestro_id,rol_victima,vehiculo_victima,sexo_victima,rango_etario,gravedad
2016-0134,conductor,moto,masculino,entre 18 y 29,fatal
2016-0135,peaton,peaton,masculino,entre 30 y 39,fatal
2016-0136,conductor,moto,,,fatal
2016-0137,conductor,moto,masculino,entre 30 y 39,fatal
2016-0138,conductor,bicicleta,femenino,entre 30 y 39,fatal
2016-0139,pasajero_acompañante,moto,femenino,entre 30 y 39,fatal
2016-0140,pasajero_acompañante,pasajeros,masculino,entre 18 y 29,fatal
2016-0142,conductor,moto,masculino,entre 40 y 49,fatal
2016-0143,conductor,moto,masculino,entre 30 y 39,fatal
2016-0144,peaton,peaton,masculino,60 y mayores,fatal
2016-0145,conductor,moto,masculino,entre 40 y 49,fatal
2016-0146,peaton,peaton,femenino,entre 30 y 39,fatal
2016-0147,pasajero_acompañante,movil,masculino,entre 50 y 59,fatal
2016-0148,conductor,moto,masculino,,fatal
2016-0150,pasajero_acompañante,cargas,masculino,entre 40 y 49,fatal
2016-0151,peaton,peaton,,,fatal
2016-0152,conductor,moto,masculino,entre 40 y 49,fatal
2016-0153,peaton,peaton,femenino,60 y mayores,fatal
2016-0154,conductor,moto,masculino,entre 30 y 39,fatal
2016-0155,peaton,peaton,femenino,entre 30 y 39,fatal
2016-0156,conductor,moto,masculino,entre 18 y 29,fatal
2016-0157,conductor,moto,masculino,entre 18 y 29,fatal
2016-0159,conductor,auto,masculino,entre 18 y 29,fatal
2016-0160,conductor,cargas,masculino,entre 30 y 39,fatal
2016-0161,peaton,peaton,masculino,entre 50 y 59,fatal
2016-0162,peaton,peaton,masculino,entre 30 y 39,fatal
2016-0163,conductor,moto,masculino,entre 18 y 29,fatal
2016-0164,conductor,auto,masculino,entre 30 y 39,fatal
2016-0165,conductor,bicicleta,masculino,entre 30 y 39,fatal
2016-0168,conductor,moto,masculino,entre 40 y 49,fatal
2016-0169,conductor,moto,masculino,entre 18 y 29,fatal
2016-0170,pasajero_acompañante,moto,masculino,entre 18 y 29,fatal
2016-0171,conductor,moto,,,fatal
2016-0172,conductor,moto,masculino,entre 30 y 39,fatal
2016-0173,conductor,moto,masculino,entre 30 y 39,fatal
2016-0174,,,,,fatal
2016-0175,peaton,peaton,femenino,,fatal
2016-0176,conductor,moto,masculino,entre 18 y 29,fatal
2016-0177,peaton,peaton,femenino,entre 18 y 29,fatal
2016-0178,peaton,peaton,femenino,menos de 18,fatal
2017-0001,conductor,moto,masculino,entre 18 y 29,fatal
2017-0003,pasajero_acompañante,cargas,masculino,entre 30 y 39,fatal
2017-0007,peaton,peaton,masculino,entre 40 y 49,fatal
2017-0008,conductor,moto,masculino,entre 30 y 39,fatal
2017-0009,conductor,moto,masculino,entre 30 y 39,fatal
2017-0010,conductor,moto,masculino,entre 18 y 29,fatal
2017-0011,pasajero_acompañante,moto,femenino,entre 30 y 39,fatal
2017-0012,conductor,moto,masculino,entre 30 y 39,fatal
2017-0013,peaton,peaton,masculino,menos de 18,fatal
2017-0014,pasajero_acompañante,moto,femenino,entre 18 y 29,fatal
2017-0015,peaton,peaton,masculino,60 y mayores,fatal
2017-0016,conductor,moto,masculino,entre 18 y 29,fatal
2017-0017,conductor,moto,masculino,entre 30 y 39,fatal
2017-0018,conductor,moto,masculino,entre 30 y 39,fatal
2017-0021,conductor,moto,masculino,entre 40 y 49,fatal
2017-0024,peaton,peaton,masculino,entre 40 y 49,fatal
2017-0025,conductor,moto,masculino,entre 18 y 29,fatal
2017-0026,pasajero_acompañante,auto,femenino,entre 18 y 29,fatal
2017-0026,conductor,auto,masculino,entre 18 y 29,fatal
2017-0027,peaton,peaton,masculino,,fatal
2017-0028,peaton,peaton,masculino,60 y mayores,fatal
2017-0029,,,masculino,entre 30 y 39,fatal
2017-0030,conductor,auto,femenino,entre 18 y 29,fatal
2017-0031,pasajero_acompañante,auto,masculino,60 y mayores,fatal
2017-0032,pasajero_acompañante,auto,femenino,entre 40 y 49,fatal
2017-0033,conductor,auto,masculino,entre 18 y 29,fatal
2017-0034,peaton,peaton,masculino,entre 40 y 49,fatal
2017-0035,conductor,auto,masculino,entre 18 y 29,fatal
2017-0035,pasajero_acompañante,auto,masculino,entre 30 y 39,fatal
2017-0035,pasajero_acompañante,auto,masculino,entre 30 y 39,fatal
2017-0036,pasajero_acompañante,moto,femenino,,fatal
2017-0036,conductor,moto,masculino,entre 18 y 29,fatal
2017-0037,conductor,moto,masculino,entre 40 y 49,fatal
2017-0038,conductor,moto,femenino,entre 40 y 49,fatal
2017-0040,conductor,auto,masculino,entre 40 y 49,fatal
2017-0041,conductor,moto,masculino,menos de 18,fatal
2017-0042,conductor,moto,masculino,,fatal
2017-0045,conductor,moto,masculino,entre 18 y 29,fatal
2017-0047,conductor,moto,masculino,entre 30 y 39,fatal
2017-0049,peaton,peaton,masculino,entre 18 y 29,fatal
2017-0050,conductor,moto,masculino,entre 40 y 49,fatal
2017-0050,pasajero_acompañante,moto,masculino,menos de 18,fatal
2017-0051,conductor,auto,masculino,entre 30 y 39,fatal
2017-0052,peaton,peaton,femenino,entre 40 y 49,fatal
2017-0053,conductor,moto,masculino,entre 18 y 29,fatal
2017-0054,pasajero_acompañante,moto,femenino,entre 18 y 29,fatal
2017-0055,conductor,auto,masculino,entre 30 y 39,fatal
2017-0058,peaton,peaton,masculino,60 y mayores,fatal
2017-0059,peaton,peaton,femenino,entre 40 y 49,fatal
2017-0060,pasajero_acompañante,moto,masculino,entre 30 y 39,fatal
2017-0061,peaton,peaton,masculino,entre 40 y 49,fatal
2017-0062,conductor,moto,masculino,entre 30 y 39,fatal
2017-0063,peaton,peaton,femenino,60 y mayores,fatal
2017-0064,pasajero_acompañante,cargas,masculino,60 y mayores,fatal
2017-0065,conductor,bicicleta,masculino,entre 18 y 29,fatal
2017-0066,peaton,peaton,masculino,menos de 18,fatal
2017-0067,conductor,moto,masculino,entre 18 y 29,fatal
2017-0068,conductor,moto,masculino,entre 30 y 39,fatal
2017-0069,conductor,moto,masculino,entre 40 y 49,fatal
2017-0070,peaton,peaton,masculino,60 y mayores,fatal
2017-0072,conductor,auto,masculino,entre 18 y 29,fatal
2017-0073,conductor,moto,masculino,entre 18 y 29,fatal
2017-0074,,,masculino,60 y mayores,fatal
2017-0075,peaton,peaton,masculino,entre 50 y 59,fatal
2017-0076,peaton,peaton,femenino,entre 30 y 39,fatal
2017-0077,conductor,moto,femenino,60 y mayores,fatal
2017-0079,conductor,moto,masculino,entre 30 y 39,fatal
2017-0080,peaton,peaton,femenino,60 y mayores,fatal
2017-0082,peaton,peaton,masculino,entre 30 y 39,fatal
2017-0083,conductor,moto,masculino,entre 30 y 39,fatal
2017-0084,peaton,peaton,femenino,60 y mayores,fatal
2017-0085,peaton,peaton,masculino,60 y mayores,fatal
2017-0086,peaton,peaton,femenino,entre 30 y 39,fatal
2017-0087,peaton,peaton,femenino,60 y mayores,fatal
2017-0088,peaton,peaton,masculino,entre 40 y 49,fatal
2017-0089,,,masculino,entre 18 y 29,fatal
2017-0090,peaton,peaton,masculino,entre 18 y 29,fatal
2017-0091,conductor,moto,masculino,entre 50 y 59,fatal
2017-0092,peaton,peaton,masculino,60 y mayores,fatal
